Estado|Fecha del Vuelo|Hora de Salida|Nueva Hora de Salida|Destino|Vuelo|Gate
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|10/10/2024|12:45|12:45|CANCUN|LA 2456|23
EMBARCANDO|10/10/2024|12:45|13:10|CARTAGENA|LA 2390|26
EMBARQUE FINALIZADO|10/10/2024|12:55|12:55|MEDELLIN|LA 2392|30
EMBARQUE FINALIZADO|10/10/2024|13:00|13:00|GUAYAQUIL|LA 1436|24
LLAMADA|10/10/2024|13:10|13:10|PANAMA|CM 760|22
CONFIRMADO|10/10/2024|13:25|13:25|BOGOTA|LA 2386|18
EMBARCANDO|10/10/2024|13:25|13:25|SAO PAULO|LA 8203|17
EMBARCANDO|10/10/2024|13:30|13:30|MIAMI|LA 2694|20
CONFIRMADO|10/10/2024|14:40|14:40|CARTAGENA|JA 7782|17
CONFIRMADO|10/10/2024|16:15|16:15|SANTIAGO|H2 5801|18
CONFIRMADO|10/10/2024|16:20|16:20|SANTIAGO|LA 641|23
CONFIRMADO|10/10/2024|16:35|16:35|PANAMA|CM 132|24
CONFIRMADO|10/10/2024|17:30|17:30|AMSTERDAM|KL 744|21
CONFIRMADO|10/10/2024|17:35|17:35|MEDELLIN|JA 7750|23
CONFIRMADO|10/10/2024|18:00|18:00|PARIS|AF 483|
CONFIRMADO|10/10/2024|18:40|18:40|SANTIAGO|LA 521|
CONFIRMADO|10/10/2024|18:40|18:40|BOGOTA|AV 052|25
CONFIRMADO|10/10/2024|19:50|19:50|MADRID|IB 6650|20
CONFIRMADO|10/10/2024|20:25|20:25|BUENOS AIRES|LA 2375|18
EMBARQUE FINALIZADO|10/10/2024|09:20|09:20|SAO PAULO|LA 8040|23
EMBARQUE FINALIZADO|10/10/2024|09:25|09:25|LA HABANA|LA 2410|14
EMBARQUE FINALIZADO|10/10/2024|09:25|09:25|GUAYAQUIL|LA 2416|30
EMBARQUE FINALIZADO|10/10/2024|09:35|09:35|SANTIAGO|LA 2697|17
EMBARQUE FINALIZADO|10/10/2024|09:35|09:35|BUENOS AIRES|LA 2380|32
EMBARQUE FINALIZADO|10/10/2024|09:45|09:45|MEDELLIN|JA 7754|33
EMBARQUE FINALIZADO|10/10/2024|10:00|10:00|CANCUN|H2 5553|26
EMBARQUE FINALIZADO|10/10/2024|10:00|10:00|QUITO|LA 2382|25
EMBARQUE FINALIZADO|10/10/2024|10:15|10:15|PUNTA CANA|H2 5580|18
EMBARQUE FINALIZADO|10/10/2024|10:20|10:20|MADRID|UX 176|22
EMBARQUE FINALIZADO|10/10/2024|10:35|10:35|BOGOTA|AV 050|23
EMBARQUE FINALIZADO|10/10/2024|10:40|10:40|CANCUN|LA 2454|15
EMBARQUE FINALIZADO|10/10/2024|11:55|11:55|SANTIAGO|LA 651|25
EMBARQUE FINALIZADO|10/10/2024|12:00|12:00|ATLANTA|LA 2482|19
EMBARQUE FINALIZADO|10/10/2024|12:00|12:00|LOS ANGELES|LA 534|21
EMBARQUE FINALIZADO|10/10/2024|12:00|12:00|ORANJESTAD|LA 2440|18
EMBARQUE FINALIZADO|10/10/2024|12:15|12:15|QUITO|LA 2388|16
EMBARQUE FINALIZADO|10/10/2024|12:15|12:15|BUENOS AIRES|LA 2369|28
EMBARQUE FINALIZADO|10/10/2024|12:30|12:30|PUNTA CANA|LA 2450|15
EMBARQUE FINALIZADO|10/10/2024|01:30|01:30|LA PAZ|LA 2400|33
EMBARQUE FINALIZADO|10/10/2024|01:35|01:35|EL SALVADOR|AV 428|22
EMBARQUE FINALIZADO|10/10/2024|02:15|02:15|PANAMA|CM 338|25
EMBARQUE FINALIZADO|10/10/2024|02:35|02:35|PANAMA|CM 264|19
EMBARQUE FINALIZADO|10/10/2024|02:55|02:55|BOGOTA|AV 074|23
EMBARQUE FINALIZADO|10/10/2024|06:25|06:25|MEXICO|Y4 3919|18
EMBARQUE FINALIZADO|10/10/2024|06:30|06:30|MIAMI|AA 1558|23
EMBARQUE FINALIZADO|10/10/2024|06:45|06:45|PANAMA|CM 436|25
EMBARQUE FINALIZADO|10/10/2024|06:45|06:45|BOGOTA|AV 102|26
EMBARQUE FINALIZADO|10/10/2024|07:00|07:00|PANAMA|CM 492|24
EMBARQUE FINALIZADO|10/10/2024|08:00|08:00|TORONTO|TS 153|16
EMBARQUE FINALIZADO|10/10/2024|08:00|08:00|PUNTA CANA|H2 5682|30
EMBARQUE FINALIZADO|10/10/2024|08:15|08:15|MIAMI|LA 2698|19
EMBARQUE FINALIZADO|10/10/2024|08:15|08:15|BOGOTA|LA 2384|20
EMBARQUE FINALIZADO|10/10/2024|08:40|08:40|SANTIAGO|LA 539|15
EMBARQUE FINALIZADO|10/10/2024|08:50|08:50|MEXICO|LA 2472|25
EMBARQUE FINALIZADO|10/10/2024|08:55|08:55|CANCUN|LA 2458|31
EMBARQUE FINALIZADO|10/10/2024|08:55|10:10|PUNTA CANA|LA 2452|16
EMBARQUE FINALIZADO|10/10/2024|08:55|08:55|SANTIAGO|H2 803|24
EMBARQUE FINALIZADO|10/10/2024|00:05|01:00|SANTIAGO|LA 529|26
EMBARQUE FINALIZADO|10/10/2024|00:05|01:00|NUEVA YORK|LA 2468|19
EMBARQUE FINALIZADO|10/10/2024|00:05|00:05|BOGOTA|LA 2444|B4
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|MIAMI|LA 2480|17
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|SAO PAULO|H2 5564|B8
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|MEXICO|AM 019|16
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|SAO PAULO|LA 8005|24
EMBARQUE FINALIZADO|10/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|25
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|CORDOBA|LA 2364|B3
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|BRASILIA|LA 2402|B1
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|QUITO|LA 2486|12
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|SANTIAGO|H2 805|15
EMBARQUE FINALIZADO|10/10/2024|00:40|00:40|SANTA CRUZ|OB 741|30
EMBARQUE FINALIZADO|10/10/2024|00:50|00:50|SANTIAGO|LA 523|18
EMBARQUE FINALIZADO|10/10/2024|00:55|00:55|HOUSTON|UA 855|20
EMBARQUE FINALIZADO|10/10/2024|01:00|01:00|LOS ANGELES|LA 2478|21
EMBARQUE FINALIZADO|10/10/2024|01:00|01:00|MIAMI|H8 5590|B11
EMBARQUE FINALIZADO|10/10/2024|01:00|03:00|SANTA CRUZ|LA 2406|26
EMBARQUE FINALIZADO|10/10/2024|01:15|01:15|MENDOZA|LA 2435|B4
EMBARQUE FINALIZADO|10/10/2024|00:05|01:00|SANTIAGO|LA 529|26
EMBARQUE FINALIZADO|10/10/2024|00:05|01:00|NUEVA YORK|LA 2468|19
EMBARQUE FINALIZADO|10/10/2024|00:05|00:05|BOGOTA|LA 2444|B4
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|MIAMI|LA 2480|17
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|SAO PAULO|H2 5564|B8
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|MEXICO|AM 019|16
EMBARQUE FINALIZADO|10/10/2024|00:15|00:15|SAO PAULO|LA 8005|24
EMBARQUE FINALIZADO|10/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|25
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|CORDOBA|LA 2364|B3
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|BRASILIA|LA 2402|B1
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|QUITO|LA 2486|12
EMBARQUE FINALIZADO|10/10/2024|00:30|00:30|SANTIAGO|H2 805|15
EMBARQUE FINALIZADO|10/10/2024|00:40|00:40|SANTA CRUZ|OB 741|30
EMBARQUE FINALIZADO|10/10/2024|00:50|00:50|SANTIAGO|LA 523|18
EMBARQUE FINALIZADO|10/10/2024|00:55|00:55|HOUSTON|UA 855|20
EMBARQUE FINALIZADO|10/10/2024|01:00|01:00|LOS ANGELES|LA 2478|21
EMBARQUE FINALIZADO|10/10/2024|01:00|01:00|MIAMI|H8 5590|B11
EMBARQUE FINALIZADO|10/10/2024|01:00|03:00|SANTA CRUZ|LA 2406|26
EMBARQUE FINALIZADO|10/10/2024|01:15|01:15|MENDOZA|LA 2435|B4
PROGRAMADO|11/10/2024|00:05|00:05|BOGOTA|LA 2444|18
PROGRAMADO|11/10/2024|00:05|00:05|SANTIAGO|LA 529|
PROGRAMADO|11/10/2024|00:15|00:15|MIAMI|LA 2480|26
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|H2 5564|24
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|LA 8005|
PROGRAMADO|11/10/2024|00:15|00:15|MEXICO|AM 019|
PROGRAMADO|11/10/2024|00:30|00:30|SANTIAGO|H2 805|
PROGRAMADO|11/10/2024|00:30|00:30|BRASILIA|LA 2402|
PROGRAMADO|11/10/2024|00:30|00:30|QUITO|LA 2486|
PROGRAMADO|11/10/2024|00:30|00:30|CORDOBA|LA 2364|
PROGRAMADO|11/10/2024|00:50|00:50|SANTIAGO|LA 523|20
PROGRAMADO|11/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|
PROGRAMADO|11/10/2024|00:55|00:55|PANAMA|CM 338|
PROGRAMADO|11/10/2024|01:00|01:00|LOS ANGELES|LA 2478|21
CONFIRMADO|11/10/2024|01:00|00:45|MIAMI|H8 5590|
PROGRAMADO|11/10/2024|01:00|01:00|LA PAZ|LA 2400|
PROGRAMADO|11/10/2024|01:00|01:00|ASUNCION|LA 1321|
PROGRAMADO|11/10/2024|01:05|01:05|PANAMA|CM 264|
CONFIRMADO|11/10/2024|01:15|00:45|SANTIAGO|H2 5586|
PROGRAMADO|11/10/2024|00:05|00:05|BOGOTA|LA 2444|18
PROGRAMADO|11/10/2024|00:05|00:05|SANTIAGO|LA 529|
PROGRAMADO|11/10/2024|00:15|00:15|MIAMI|LA 2480|26
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|H2 5564|24
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|LA 8005|
PROGRAMADO|11/10/2024|00:15|00:15|MEXICO|AM 019|
PROGRAMADO|11/10/2024|00:30|00:30|SANTIAGO|H2 805|
PROGRAMADO|11/10/2024|00:30|00:30|BRASILIA|LA 2402|
PROGRAMADO|11/10/2024|00:30|00:30|QUITO|LA 2486|
PROGRAMADO|11/10/2024|00:30|00:30|CORDOBA|LA 2364|
PROGRAMADO|11/10/2024|00:50|00:50|SANTIAGO|LA 523|20
PROGRAMADO|11/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|
PROGRAMADO|11/10/2024|00:55|00:55|PANAMA|CM 338|
PROGRAMADO|11/10/2024|01:00|01:00|LOS ANGELES|LA 2478|21
CONFIRMADO|11/10/2024|01:00|00:45|MIAMI|H8 5590|
PROGRAMADO|11/10/2024|01:00|01:00|LA PAZ|LA 2400|
PROGRAMADO|11/10/2024|01:00|01:00|ASUNCION|LA 1321|
PROGRAMADO|11/10/2024|01:05|01:05|PANAMA|CM 264|
CONFIRMADO|11/10/2024|01:15|00:45|SANTIAGO|H2 5586|
PROGRAMADO|11/10/2024|00:05|00:05|BOGOTA|LA 2444|18
PROGRAMADO|11/10/2024|00:05|00:05|SANTIAGO|LA 529|
PROGRAMADO|11/10/2024|00:15|00:15|MIAMI|LA 2480|26
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|H2 5564|24
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|LA 8005|
PROGRAMADO|11/10/2024|00:15|00:15|MEXICO|AM 019|
PROGRAMADO|11/10/2024|00:30|00:30|SANTIAGO|H2 805|
PROGRAMADO|11/10/2024|00:30|00:30|BRASILIA|LA 2402|
PROGRAMADO|11/10/2024|00:30|00:30|QUITO|LA 2486|
PROGRAMADO|11/10/2024|00:30|00:30|CORDOBA|LA 2364|
PROGRAMADO|11/10/2024|00:50|00:50|SANTIAGO|LA 523|20
PROGRAMADO|11/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|
PROGRAMADO|11/10/2024|00:55|00:55|PANAMA|CM 338|
PROGRAMADO|11/10/2024|01:00|01:00|LOS ANGELES|LA 2478|21
CONFIRMADO|11/10/2024|01:00|00:45|MIAMI|H8 5590|
PROGRAMADO|11/10/2024|01:00|01:00|LA PAZ|LA 2400|
PROGRAMADO|11/10/2024|01:00|01:00|ASUNCION|LA 1321|
PROGRAMADO|11/10/2024|01:05|01:05|PANAMA|CM 264|
CONFIRMADO|11/10/2024|01:15|00:45|SANTIAGO|H2 5586|
PROGRAMADO|11/10/2024|00:05|00:05|BOGOTA|LA 2444|18
PROGRAMADO|11/10/2024|00:05|00:05|SANTIAGO|LA 529|
PROGRAMADO|11/10/2024|00:15|00:15|MIAMI|LA 2480|26
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|H2 5564|24
PROGRAMADO|11/10/2024|00:15|00:15|SAO PAULO|LA 8005|
PROGRAMADO|11/10/2024|00:15|00:15|MEXICO|AM 019|
PROGRAMADO|11/10/2024|00:30|00:30|SANTIAGO|H2 805|
PROGRAMADO|11/10/2024|00:30|00:30|BRASILIA|LA 2402|
PROGRAMADO|11/10/2024|00:30|00:30|QUITO|LA 2486|
PROGRAMADO|11/10/2024|00:30|00:30|CORDOBA|LA 2364|
PROGRAMADO|11/10/2024|00:50|00:50|SANTIAGO|LA 523|20
PROGRAMADO|11/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|
PROGRAMADO|11/10/2024|00:55|00:55|PANAMA|CM 338|
PROGRAMADO|11/10/2024|01:00|01:00|LOS ANGELES|LA 2478|21
CONFIRMADO|11/10/2024|01:00|00:45|MIAMI|H8 5590|
PROGRAMADO|11/10/2024|01:00|01:00|LA PAZ|LA 2400|
